name,address1,cate_gories
Malecon Restaurant,"390 S Broadway, Yonkers, NY, 10705","Latin American, Dominican"
Trade Fair Supermarket,"49-11 30th Ave, Woodside, NY, 11377","Grocery, Bakeries, Seafood Markets"
Pita Grill,"1083 2nd Ave, New York, NY, 10022","Middle Eastern, Kosher, American (Traditional)"
Rosario's Trattoria,"29 Central Ave, Midland Park, NJ, 07432","Italian, Pizza, Caterers"
K. Pacho,"1270 Union Tpke, New Hyde Park, NY, 11040","Mexican, Venues & Event Spaces, Cocktail Bars"
King Souvlaki - Astoria,"31 St And 31 Ave, Astoria, NY, 11106","Greek, Food Trucks"
Ferry St. Barbecue,"89 Ferry St, Newark, NJ, 07105","Barbeque, Portuguese"
Picnic Garden,"154-05 Northern Blvd, Flushing, NY, 11354","Barbeque, Korean"
LongHorn Steakhouse,"9055 Xavier Dr, Yonkers, NY, 10704","Steakhouses, American (Traditional), Barbeque"
Colonial Restaurant,"366 New Brunswick Ave, Fords, NJ, 08863","Diners, Breakfast & Brunch"
Spice,"47-45 Vernon Blvd, Long Island City, NY, 11101","Thai, Cocktail Bars"
Bay Ridge Nissan,"6501 5th Ave, Brooklyn, NY, 11220","Car Dealers, Used Car Dealers, Auto Repair"
Wonder Bagels,"331 Central Ave, Jersey City, NJ, 07307","Breakfast & Brunch, Bagels"
Applejack Diner,"1725 Broadway, New York, NY, 10019","Diners, Desserts, Breakfast & Brunch"
Lux Restyling,"1851 State Rte 35, South Amboy, NJ, 08879","Auto Parts & Supplies, Auto Customization, Auto Security"
Spirit Airlines,"94-00 Grand Central Pkwy, East Elmhurst, NY, 11371",Airlines
The Party Ride,"13-11 Jackson Ave, Long Island City, NY, 11101","Party & Event Planning, Limos"
Apollo Fast Food & Grocery,"472 W Side Ave, Jersey City, NJ, 07304","Grocery, Fast Food, Filipino"
Americana Diner,"270 Main St, West Orange, NJ, 07052",Diners
McDonald's,"38-02 Queens Blvd, Long Island City, NY, 11101","Fast Food, Burgers, Coffee & Tea"
Sara & Sophia Restaurant,"287 Main St, Hackensack, NJ, 07601",Latin American
Pelham Palace,"221 Wolfs Ln, Pelham, NY, 10803","Chinese, Japanese"
Popeyes Louisiana Kitchen,"804 Bayonne Crossing Way, Bayonne, NJ, 07002","Fast Food, Chicken Wings"
Star Chrysler Jeep Dodge,"211-10 Jamaica Ave, Queens Village, NY, 11428",Auto Repair
Red Lobster,"2090 Bartow Ave, Bronx, NY, 10475","Seafood, American (Traditional)"
Chipotle Mexican Grill,"906 3rd Ave, New York, NY, 10022","Mexican, Fast Food"
Chipotle Mexican Grill,"620 9th Ave, New York, NY, 10036","Mexican, Fast Food"
The Original Pancake House,"170 Hamilton Ave, White Plains, NY, 10601","Breakfast & Brunch, American (Traditional)"
Crawfords Coffee & Cafe,"1 South Middle Neck Rd, Great Neck, NY, 11021","Coffee & Tea, Breakfast & Brunch, Pizza"
Oh Brian's On The Green,"1300 Raritan Rd, Clark, NJ, 07066","Gastropubs, American (Traditional), Sports Bars"
Walmart Supercenter,"1050 W Edgar Rd, Linden, NJ, 07036","Grocery, Department Stores, Drugstores"
Empire Honda of Manhasset,"1260 Northern Blvd, Manhasset, NY, 11030","Car Dealers, Auto Repair, Auto Parts & Supplies"
Mercedes-Benz of Caldwell,"1220 Bloomfield Ave, West Caldwell, NJ, 07006","Car Dealers, Auto Repair, Used Car Dealers"
Pollos Mario,"63 Main St, Hackensack, NJ, 07601","Spanish, Steakhouses, Colombian"
McDonald's,"1205 Old Boston Post Rd, Mamaroneck, NY, 10543","Fast Food, Burgers, Coffee & Tea"
Popeyes Louisiana Kitchen,"11 US Highway 46W, Lodi, NJ, 07644","Fast Food, Chicken Wings"
Route 23 Honda,"700 State Rte 23, Pompton Plains, NJ, 07444","Auto Repair, Car Dealers, Auto Parts & Supplies"
Al's Moving & Storage,"126 Fulton St, White Plains, NY, 10606","Movers, Self Storage, Packing Services"
Livingston Bagel,"37 E Northfield Rd, Livingston, NJ, 07039","Bagels, Delis, American (Traditional)"
Tom Sawyer Diner,"98 E Ridgewood Ave, Paramus, NJ, 07652","Diners, Breakfast & Brunch, American (Traditional)"
NYC Pub Bar Club Crawl Rockstarcrawls,"101 Perry St, New York, NY, 10014","Tours, Club Crawl, Bar Crawl"
Pub Crawl New York,"East Houston St, New York, NY, 10002",Bar Crawl
Boobie Trap,"308 Bleecker St, Brooklyn, NY, 11237",Dive Bars
Crawl Brooklyn,", Brooklyn, NY, 11211",Bar Crawl
Coyote Ugly,"233 E 14th St, New York, NY, 10003","Dive Bars, Dance Clubs"
Barcelona Bar,"923 8th Ave, New York, NY, 10019",Dive Bars
New York Club Crawl,"1500 Broadway, Manhattan, NY, 10036",Club Crawl
The Library,"7 Ave A, New York, NY, 10009",Dive Bars
Rudy's Bar & Grill,"627 9th Ave, New York, NY, 10036","Dive Bars, Hot Dogs"
Alligator Lounge,"600 Metropolitan Ave, Brooklyn, NY, 11211","Lounges, Dive Bars, Karaoke"
Greenwich Village Literary Pub Crawl,"567 Hudson St & 11th St, New York, NY, 10014","Walking Tours, Bar Crawl"
Pete's Candy Store,"709 Lorimer St, Brooklyn, NY, 11211","Music Venues, Dive Bars, Pubs"
Lucky 13 Saloon,"644 Sackett St, Gowanus, NY, 11215","Dive Bars, Music Venues"
At the Wallace,"3612 Broadway, New York, NY, 10031","Sports Bars, American (Traditional), Dive Bars"
Fish Bar,"237 E 5th St, New York, NY, 10003",Dive Bars
1020 Bar,"1020 Amsterdam Ave, New York, NY, 10025",Dive Bars
Urban Crawls,", New York, NY, 10014","Walking Tours, Food Tours, Historical Tours"
New York Trolley Company,"244 5th Ave, Manhattan, NY, 10001","Party Bus Rentals, Buses"
The Hard Swallow,"140 1st Ave, New York, NY, 10009",Dive Bars
Old Man Hustle,"39 Essex St, New York, NY, 10002","Cocktail Bars, Dive Bars, Comedy Clubs"
NYC Party Bus Pros,"228 Park Ave S, New York, NY, 10003","Party Bus Rentals, Bus Tours, Party & Event Planning"
Clockwork Bar,"21 Essex St, New York, NY, 10002",Dive Bars
Pub Crawls,"132 West 31st St, New York, NY, 10036",Bar Crawl
Cherry Tavern,"441 E 6th St, New York, NY, 10009",Dive Bars
Pearl's Social & Billy Club,"40 Saint Nicholas Ave, Brooklyn, NY, 11237","Dive Bars, Cocktail Bars"
McSorleys Old Ale House,"15 E 7th St, New York, NY, 10003","Dive Bars, Breweries, Beer Bar"
Judy & Punch,"34-08 30th Ave, Astoria, NY, 11103","Cocktail Bars, Dive Bars, Beer Bar"
Montero's Bar & Grill,"73 Atlantic Ave, Brooklyn, NY, 11201","Dive Bars, Karaoke"
Iggy's Keltic Lounge,"132 Ludlow St, New York, NY, 10002","Dive Bars, Pubs"
7B Horseshoe Bar aka Vazacs,"108 Ave B, New York, NY, 10009","Arcades, Dive Bars"
Time Square Literary Pub Crawl,"234 West 44th St, New York, NY, 10036",Bar Crawl
Ilda's Place II,"8122 Baxter Ave, Elmhurst, NY, 11373",
Alex's Tours,"None, New York, NY, 10011",Walking Tours
Doc Holliday's,"141 Ave A, New York, NY, 10009","Dive Bars, Pubs"
Smith's Bar & Restaurant,"701 8th Ave, New York, NY, 10036","Dive Bars, Sports Bars, American (Traditional)"
Arlene's Grocery,"95 Stanton St, New York, NY, 10002","Karaoke, Music Venues, Dive Bars"
Walk About New York,"None, New York, NY, 10011",Tours
Harlem Pub Crawl,"152 W 121st St, New York, NY, 10027",Bar Crawl
Riverside Inn,"56 N Ave E, Cranford, NJ, 07016","Dive Bars, Burgers"
Urban Oyster Tours,"79 N 11th St, New York, NY, 11211",Food Tours
Boat Bar,"175 Smith St, Brooklyn, NY, 11201",Dive Bars
McCaffrey & Burke Bar & Grill,"2854 31st St, Astoria, NY, 11102","Dive Bars, American (Traditional)"
Kelly's Bar & Grill,"3104 Crescent St, Astoria, NY, 11106","Dive Bars, American (Traditional)"
Murphy's Tavern,"17 Ward Ln, Rumson, NJ, 07760",Dive Bars
O'Hanlon's Bar,"22-57 31st St, Astoria, NY, 11105","Pubs, Dive Bars"
