name,address1,cate_gories
Cirque Daiquiri Bar and Grill,2160 Monroe Dr NE,"Bars, American (Traditional)"
Slingshot Social Game Club,1000 Marietta St NW,"Bars, Arcades, Social Clubs"
Red Door Tavern,3180 Roswell Rd NW,Dive Bars
Friends On Ponce,736 Ponce De Leon Ave NE,"Gay Bars, Lounges"
Ironmonger Brewing,2129 NW Pkwy SE,"Breweries, Axe Throwing"
HOBNOB Neighborhood Tavern - Atlantic Station,245 18th St,"American (Traditional), Sports Bars, Mexican"
Rina,699 Ponce De Leon Ave,"Middle Eastern, Cocktail Bars, Wine Bars"
The Rusty Barrel,138 Powers Ferry Rd SE,"Dive Bars, Burgers"
IceBar of Atlanta,5456 W Fayetteville Rd,"Cocktail Bars, Hookah Bars, American (Traditional)"
Lips - Atlanta,3011 Buford Hwy NE,"Bars, American (Traditional), Cabaret"
Shakespeare Tavern Playhouse,499 Peachtree St NE,"Performing Arts, Pubs"
Skyboxx Restaurant and Sports Bar,2180 Mount Zion Pkwy,"Sports Bars, Pizza, Chicken Wings"
Pour Taproom Midtown,1180 Peachtree St NE,"American (New), Beer Bar"
Pure Lounge,1594 Woodcliff Dr NE,"Hookah Bars, Cocktail Bars, Cafes"
Rooftop LOA,1115 Howell Mill Rd,"Bars, American (Traditional), Seafood"
Twin Peaks,3365 Piedmont Rd NE,"Sports Bars, American (Traditional), American (New)"
Club Ellery's,2008 Campbellton Rd,"Bars, Dance Clubs, American (New)"
New Orleans Daquiri,5415 Old National Hwy,"Bars, Seafood"
Blind Willie's,828 N Highland Ave,"Jazz & Blues, Bars, Cajun/Creole"
Mary's,1287 Glenwood Ave,Gay Bars
The Royal Peacock,186 Auburn Ave NE,"Dance Clubs, Bars"
Club 426 Restaurant & Lounge,5469 Memorial Dr,"American (New), Lounges"
Little Trouble,1170 Howell Mill Rd,"Asian Fusion, Cocktail Bars"
Gypsy Kitchen,3035 Peachtree Rd NE,"Spanish, Tapas/Small Plates, Bars"
Eden,3364 Chamblee Tucker Road,"Hookah Bars, American (New), Cocktail Bars"
Ideal Sportsbar,1953 Lakewood Ave SE,Sports Bars
Vortex Bar & Grill,438 Moreland Ave NE,"American (Traditional), Bars"
Harlem Nights Ultra Lounge,201 Courtland St,"American (Traditional), Lounges, Dance Clubs"
Wraith ATL,5021 Old National Hwy,Lounges
Living Room,188 14th St,Lounges
Sudo Bar & Grill - Ellenwood,1792 Panola Rd,Sports Bars
Bon Ton,674 Myrtle St NE,"Cajun/Creole, Seafood, Tiki Bars"
Bliss Bar and Lounge,10305 Medlock Bridge Rd A6,"Hookah Bars, Lounges, Cocktail Bars"
Oceans,2865 Donald Lee Hollowell Pkwy NW,"Bars, American (New), Seafood"
Moes and Joe's Tavern,1033 N Highland Ave NE,"Dive Bars, American (Traditional)"
The Chapter Room,5600 Roswell Rd,"American (New), Beer Bar"
Five Paces Inn,41 Irby Ave NW,"Dive Bars, Music Venues"
Old Fourth Distillery,487 Edgewood Ave,"Distilleries, Cocktail Bars"
Irish Bred Pub,1155 Virginia Ave,"American (New), Karaoke, Irish Pub"
Tabernacle,152 Luckie St,"Music Venues, Venues & Event Spaces"
Dark Horse Tavern,816 N Highland Ave,"Music Venues, American (New), Pubs"
14th Street Bar,22 14th St NW,"Pubs, Wine Bars"
Le Colonial - Atlanta,3035 Peachtree Rd NE,"Bars, Vietnamese, French"
Brick Store Pub,125 E Ct Sq,"Pubs, American (Traditional)"
Woofs Atlanta,494 Plasters Ave NE,"Gay Bars, Sports Bars"
Rock Steady - Atlanta,907 Marietta St NW,"Caribbean, Breakfast & Brunch, Cocktail Bars"
Two Birds Taphouse,52 Powder Springs St,"Gastropubs, Beer Bar, Tapas/Small Plates"
Azule Restaurant and Lounge,2625 Piedmont Rd NE,Lounges
Malone's Steak & Seafood,1258 Virginia Ave,"Seafood, Bars, American (Traditional)"
Dudley's Sports Bar and Grill,1525 E Park Pl Blvd,"Barbeque, Sports Bars"
The Optimist,914 Howell Mill Rd,"Seafood, Cocktail Bars, Beer Bar"
Eleventh Street Pub,1041 W Peachtree St NW,"American (Traditional), Pubs"
Hush Sports Bar and Lounge,2077 Beaver Ruin Rd,"Dance Clubs, Lounges"
Dixie Tavern,2349 Windy Hill Rd SE,"Music Venues, Sports Bars, Chicken Wings"
Steamhouse Lounge,1051 W Peachtree St NW,"Seafood, Dive Bars"
Iron Hill Brewery & Restaurant -  Buckhead,3535 Peachtree Rd NE,"Brewpubs, American (New)"
Boxcar,1000 White St,"American (New), Beer Bar, Wine Bars"
Dunwoody Tavern,5488 Chamblee Dunwoody Rd,"Pubs, American (Traditional)"
Midcity Cafe,850 Spring St NW,"Cafes, Bars"
Rande Voo Restaurant Lounge,1450 Veterans Memorial Hwy SE,"Lounges, Venues & Event Spaces, Hookah Bars"
Blake's On The Park,227 10th St NE,Gay Bars
El Patron Sport Bar & Grill,3302 Laventure Dr,"Latin American, Sports Bars"
Bastone,887 Howell Mill Rd NW,"Pasta Shops, Cocktail Bars"
Storico Vino,3065 Peachtree Rd NE,"Italian, Wine Bars, Cocktail Bars"
UP on the Roof,33 S Main St,"Cocktail Bars, American (New), Tapas/Small Plates"
Tribeca Buckhead,1782 Cheshire Bridge Rd NE,"Beer, Wine & Spirits, Breakfast & Brunch, Cocktail Bars"
Sky Restaurant Bar & Grill,5590 Mableton Pkwy,"Mexican, Seafood, Bars"
Smith's Olde Bar,1578 Piedmont Ave NE,"Bars, Music Venues, Pool Halls"
Tortuga y Chango,910 W College Ave,"Cocktail Bars, New Mexican Cuisine"
Stats,300 Marietta St NW,"Sports Bars, Brewpubs"
The Marquee Club,660 W Peachtree St NW,Lounges
Wild Heaven Beer,135B Maple St,Breweries
McCray's Tavern Midtown,1163 W Peachtree St NE,"Venues & Event Spaces, Sports Bars, American (Traditional)"
Fadó Irish Pub,933 Peachtree St NE,Irish Pub
Southbound,5394 Peachtree Rd,"American (New), Southern, Bars"
The Hideaway,1544 Piedmont Ave NE,"Gay Bars, Pubs"
The Living Room at the W Downtown,45 Ivan Allen Jr Blvd NW,Cocktail Bars
Eddie's Attic,515-B N McDonough St,"Music Venues, American (Traditional)"
The Select,6405 Blue Stone Rd,"Mediterranean, French, Cocktail Bars"
The Cape Restaurant and Beach Bar,700 Avalon Blvd,"South African, Wine Bars, Cocktail Bars"
Hammer's Good Time Emporium,898 Virginia Ave,"Dive Bars, American (Traditional), Salad"
Spondivits,1219 Virginia Ave,"Seafood, Steakhouses"
Ticonderoga Club,99 Krog St NE,"Cocktail Bars, American (Traditional)"
Yebo Beach Haus,56 E Andrews Dr Nw,"American (New), South African, Cocktail Bars"
Old Lady Gang,177 Peters St SW,"Southern, Bars"
Chiringa,34 S Main St,"Bars, Seafood, Tacos"
The Nook On Piedmont Park,1144 Piedmont Ave NE,American (Traditional)
The Big Ketch Saltwater Grill,3279 Roswell Rd NE,"Seafood, American (Traditional)"
Topgolf,1600 Ellsworth Industrial Blvd NW,"American (New), Golf, Sports Bars"
26 Thai Kitchen & Bar,541 Main St NE,"Thai, Bars"
Hook Line & Schooner,4600 W Village Way,"American (Traditional), Seafood, Cocktail Bars"
Rose Bar - Atlanta,3115 Piedmont Rd NE,"Lounges, DJs, Hookah Bars"
Treehouse Restaurant and Pub,7 Kings Cir NE,"Pubs, American (Traditional)"
Octopus Kitchen,1551 Piedmont Ave NE,"Seafood, Hookah Bars, Lounges"
Trader Vic's,255 Courtland St NE,"Hawaiian, Asian Fusion, Tiki Bars"
Taps At Ph'east,925 Battery Ave,"Beer Bar, Cocktail Bars"
LandShark Bar & Grill,7541 Lanier Islands Pkwy,"American (New), Bars"
Bahama Breeze,3590 Breckinridge Blvd,"Bars, Seafood, Latin American"
Cutters Cigar & Spirits,4915 Windward Pkwy,"Cigar Bars, Lounges"
Hooters,3550 Gwinett Place Dr,"American (Traditional), Sports Bars, Chicken Wings"
The Pirate's Boil,2451 Cobb Pkwy SE,"Cajun/Creole, Seafood, Sports Bars"
One Flew South,6000 N Terminal Pkwy,"American (New), Sushi Bars, Cocktail Bars"
Leon's Full Service,131 E Ponce De Leon Ave,"Gastropubs, American (Traditional), Cocktail Bars"
The Companion,2316 Marietta Rd NW,"American (Traditional), Beer Bar, Cocktail Bars"
The Po'Boy Shop,1369 Clairmont Rd,"Cajun/Creole, Sandwiches, Bars"
Kimball House,303 E Howard Ave,"American (New), Cocktail Bars"
BeetleCat,299 North Highland Ave NE,"Seafood, Desserts, Wine Bars"
Breakfast At Barneys,349 Decatur St SE,"Breakfast & Brunch, American (New), Champagne Bars"
26 Thai Kitchen & Bar - Midtown,824 Juniper St NE,"Thai, Bars"
Gunshow,924 Garrett St,"American (New), Southern, Bars"
Tin Lizzy's Taco Americana,77 12th St NE,"Tex-Mex, Sports Bars, Mexican"
Lost Dog Tavern,3182 Roswell Rd NW,Sports Bars
